ID,Kategorie,Abschnitt,Bezeichnung,Stufe/Klasse,Meilenstein (Vorschlag),Status,Blockiert durch
SEM-3.10,Semantik/Abschnitt,3.10,Bit-Operationen und Konversionen,,M1 (Kernsemantik),fertig,
SEM-3.11,Semantik/Abschnitt,3.11,Matrizen fester Größe,,M6 (v1.1),offen,
SEM-3.12,Semantik/Abschnitt,3.12,Generics: Klammerklassen und Monomorphisierung,,M1 ([U]) / M6 (const) / M8 (type),teilweise,
SEM-4.1,Semantik/Abschnitt,4.1,Totalität als Grundsatz,,M1 (Kernsemantik),fertig,
SEM-4.2,Semantik/Abschnitt,4.2,Reproduzierbare Fließkomma-Arithmetik,,M1 (Kernsemantik),teilweise,
SEM-4.3,Semantik/Abschnitt,4.3,"Bedingte Ausdrücke, Bool-Logik",,M1 (Kernsemantik),fertig,
SEM-4.4,Semantik/Abschnitt,4.4,Ausdrücke sind seiteneffektfrei,,M1 (Kernsemantik),fertig,
SEM-4.5,Semantik/Abschnitt,4.5,Native Funktionen mit Kostenvertrag,,M1 (Kernsemantik),fertig,
SEM-5.1,Semantik/Abschnitt,5.1,Struktur,,M1 (Kernsemantik),fertig,
SEM-5.2,Semantik/Abschnitt,5.2,"Ausführung eines Ticks (informell, exakt in 9.3)",,M1 (Kernsemantik),fertig,
SEM-5.3,Semantik/Abschnitt,5.3,Fault-Wald,,M1 (Kernsemantik),fertig,
SEM-5.4,Semantik/Abschnitt,5.4,`abort`,,M1 (Kernsemantik),fertig,
SEM-5.5,Semantik/Abschnitt,5.5,Eingeschränkte Aktionsblöcke,,M1 (Kernsemantik),fertig,
SEM-5.6,Semantik/Abschnitt,5.6,"Interlocks, Permissives, Alerts",,M1 (Kernsemantik),fertig,
SEM-5.7,Semantik/Abschnitt,5.7,Blöcke innerhalb von Maschinen,,M1 (Kernsemantik),fertig,
SEM-5.8,Semantik/Abschnitt,5.8,Ergonomie in Maschinen,,M1 (Kernsemantik),fertig,
SEM-5.9,Semantik/Abschnitt,5.9,Persistente Variablen (v1.1),v1.1,M5 (Embedded),fertig,
SEM-5.10,Semantik/Abschnitt,5.10,"Schlafzustände (`idle`, v1.1)",v1.1,M5 (Embedded),fertig,
SEM-5.11,Semantik/Abschnitt,5.11,Gescopte Instanzen: parallele Komposition ohne Regionen (v1.2),v1.2,M8,offen,
SEM-5.12,Semantik/Abschnitt,5.12,History-Zustände: `resume` (v1.2),v1.2,M8,offen,
SEM-6.1,Semantik/Abschnitt,6.1,Motivation,,M1 (Kernsemantik),fertig,
SEM-6.2,Semantik/Abschnitt,6.2,Desugaring (formal),,M1 (Kernsemantik),fertig,
SEM-6.3,Semantik/Abschnitt,6.3,Beispiel des Desugarings,,M1 (Kernsemantik),fertig,
SEM-7.1,Semantik/Abschnitt,7.1,Logische Zeit,,M1 (Kernsemantik),fertig,
SEM-7.2,Semantik/Abschnitt,7.2,Multirate-Scheduling,,M1 (Kernsemantik),fertig,
SEM-7.3,Semantik/Abschnitt,7.3,Überlauf zur Laufzeit,,M1 (Kernsemantik),fertig,
SEM-7.4,Semantik/Abschnitt,7.4,Wall-Clock,,M6 (v1.1),offen,
SEM-7.5,Semantik/Abschnitt,7.5,Zeit unterhalb des Ticks,,M1 (Kernsemantik),fertig,
SEM-8.1,Semantik/Abschnitt,8.1,Deklaration,,M2 (Ströme),teilweise,
SEM-8.2,Semantik/Abschnitt,8.2,Große Systeme,,M6 (mit 8.10),offen,
SEM-8.3,Semantik/Abschnitt,8.3,Simulation und HIL,,M2 (Ströme),fertig,
SEM-8.4,Semantik/Abschnitt,8.4,Parameter und Profile,,M2 (Ströme),fertig,
SEM-8.5,Semantik/Abschnitt,8.5,Commands und Operator-Interaktion,,M2 (Ströme),fertig,
SEM-8.6,Semantik/Abschnitt,8.6,Ereignisströme (`stream<E>`),,M2 (Ströme),fertig,
SEM-8.7,Semantik/Abschnitt,8.7,"Muster, Captures, Handler",,M2 (Ströme),fertig,
SEM-8.8,Semantik/Abschnitt,8.8,Ausgabeströme,,M2 (Ströme),fertig,
SEM-8.9,Semantik/Abschnitt,8.9,"Oversampelte Kanäle, Register, Capture-Fenster",,M2 (Ströme),teilweise,TTL-Adapter (PA9)
SEM-8.10,Semantik/Abschnitt,8.10,Hardware-Konfiguration und Geräteprofile (v1.1),v1.1,M6,teilweise,
SEM-8.11,Semantik/Abschnitt,8.11,Geräte mit Kommando und Status,,M6 (v1.1),offen,
SEM-9.0,Semantik/Abschnitt,9.0,Notation,,M1/M2 (Interpreter),fertig,
SEM-9.1,Semantik/Abschnitt,9.1,Objekte,,M1/M2 (Interpreter),fertig,
SEM-9.2,Semantik/Abschnitt,9.2,Ausdrücke und Statements,,M1/M2 (Interpreter),fertig,
SEM-9.3,Semantik/Abschnitt,9.3,Schritt einer Maschine,,M1/M2 (Interpreter),fertig,
SEM-9.4,Semantik/Abschnitt,9.4,System-Tick und Sätze,,M1/M2 (Interpreter),fertig,
SEM-9.5,Semantik/Abschnitt,9.5,Was die Sätze nicht abdecken (Trusted Computing Base),,M1/M2 (Interpreter),teilweise,
SEM-9.6,Semantik/Abschnitt,9.6,Ereignisströme,,M1/M2 (Interpreter),fertig,
SEM-9.7,Semantik/Abschnitt,9.7,Handler-Dispatch,,M1/M2 (Interpreter),fertig,
SEM-9.8,Semantik/Abschnitt,9.8,Geplante Ausgaben,,M1/M2 (Interpreter),fertig,
SEM-9.9,Semantik/Abschnitt,9.9,Schlaf,,M5 (Embedded),fertig,
SEM-9.10,Semantik/Abschnitt,9.10,Persistenz,,M5 (Embedded),fertig,
SEM-11.1,Semantik/Abschnitt,11.1,Komponenten (Rust-Workspace),,je Meilenstein,offen,
SEM-11.2,Semantik/Abschnitt,11.2,Lowering einer Maschine (Skizze),,M1-M4 (Lowering),fertig,
SEM-11.3,Semantik/Abschnitt,11.3,Sim-Build vs. HW-Build,,M4 (Codegen),fertig,
SEM-11.4,Semantik/Abschnitt,11.4,"Standardbibliothek (Auszug, mit Einheitenvariablen)",,M6 (stdlib),offen,
SEM-11.5,Semantik/Abschnitt,11.5,`takt size`: Speicherbudget,,M3 (Gate),teilweise,
SEM-12.1,Semantik/Abschnitt,12.1,Gemeinsame Struktur,,M4/M5 (Runtime),fertig,
SEM-12.2,Semantik/Abschnitt,12.2,Linux-Box (Cortex-A / x86-64),,M4 (Codegen),fertig,
RT-8.6-Strompuffer,Umsetzung,12.1,"Strompuffer der Runtime (`takt-rt-core::stream`): Ring ueber geliehenen Feldern statt Const-Generics, feste Slots und Byte-Ring in einer Struktur (FB-115)",,M4/M5 (Runtime),fertig,
RT-8.6-Rahmenstroeme,Umsetzung,12.1,"Stroeme im Testrahmen (`takt-conformance::streams`): Tabelle ueber dem Stimulus statt Ring, weil der Stimulus vor dem Lauf feststeht; Schranken aus 8.6 je Tick (FB-115)",,M4 (Codegen),fertig,
CG-8.7-Captures,Umsetzung,11.2,"Mustervergleich mit Extraktion im erzeugten Code (`takt-llvm::captures`): Vorwaertsdurchlauf als IR statt Aufruf in die Runtime, weil die Naht Rohzeiger braeuchte (13.4); `takt-match` als Orakel (FB-113)",,M4 (Codegen),fertig,
CG-8.8-Send,Umsetzung,11.2,"`send` und Formatstrings im erzeugten Code (`takt-llvm::format`): `{x}`, `{x:hex}`, `{x:04}`; `float` bleibt aus (4.2, zweite Rundungsquelle) (FB-112)",,M4 (Codegen),fertig,
CG-8.9-Reduktionen,Umsetzung,11.2,"Reduktionen ueber Abtastfenster im erzeugten Code (`takt-llvm::reduce`): `min`, `max`, `mean`, `rms`, `count`, `last`; abgerollt, Summation von links nach rechts wie im Interpreter (4.2)",,M4 (Codegen),fertig,
CG-5.8-Every,Umsetzung,11.2,"`every d:` im erzeugten Code: ein `i64` je Aufrufstelle im Zustand (`Role::EveryNext`); Uhr ist `t_in_state` im Zustand, `now` im Maschinen-`loop:` (5.8)",,M4 (Codegen),fertig,
CG-13.2-Verdict,Umsetzung,11.2,"`verdict pass | fail` im erzeugten Code: eine Beobachtung wie `verify`, kein Fault (Leitentscheidung 14)",,M4 (Codegen),fertig,
CG-9.8-At,Umsetzung,11.2,"`at T:` und `cancel` im erzeugten Code: die Warteschlange gehoert der Runtime (11.2), `takt_schedule`/`takt_cancel` als ABI; `TimingFault` und `ScheduleOverflow` entscheidet sie (9.8)",,M4 (Codegen),fertig,
CG-11.2-Goto,Umsetzung,11.2,`->` als Anweisung: Zustandswechsel und Sprung ans Kettenende (11.2); im Entry-Tick wirkungslos (5.2 Regel 4). Teilt `enter_leaf` mit den Uebergaengen,,M4 (Codegen),fertig,
CG-8.7-Guard,Umsetzung,11.2,"Muster-Guard in Uebergaengen (`until … matches`): erstes passendes Element im Fenster, `examined` nur bis dorthin (8.7)",,M4 (Codegen),fertig,
CG-3.9-Text,Umsetzung,11.2,"Textliterale als Wert und Textvergleich nach Inhalt (3.9): was hinter der Laenge steht, zaehlt nicht",,M4 (Codegen),fertig,
CG-11.5-Inspect,Umsetzung,11.5,"Messung am erzeugten Objekt (`takt-llvm::inspect`): Abschnitte, Symbole und Stackrahmen ueber die Binutils der jeweiligen Zielkette; ELF und PE/COFF",,M4 (Codegen),fertig,
CG-11.5-SizeGemessen,Umsetzung,11.5,`takt size` gegen das Objekt geprueft: die DFA-Tabellen stimmen mit `.rodata` ueberein (FB-121),,M4 (Codegen),fertig,
CG-11.5-FlashPosten,Umsetzung,11.5,"Der Posten „Flash (Code, Konstanten)"" wird gemessen statt `offen`: braucht ein festes Ziel",,M5 (Embedded),fertig,
CG-12.3-StackTiefe,Umsetzung,12.3,"Stacktiefe als laengster Pfad im Aufrufgraphen plus Rahmen je Funktion; die Messung steht (`inspect::stack_frame`), die Rechnung kommt mit dem Profil",,M5 (Embedded),fertig,
CG-13.4-Objektcode,Umsetzung,13.4,Objektcode gegen Quelle nachvollziehen (Zertifizierung): baut auf `inspect::symbols` auf,,M9 (v2),offen,
SEM-12.3,Semantik/Abschnitt,12.3,"MCU (Cortex-M, RISC-V; `no_std`)",,M5 (Embedded),teilweise,Board 2 (RV32IMAC)
SEM-12.4,Semantik/Abschnitt,12.4,Sicherheitsmechanismen außerhalb der Sprache,,M5 (Embedded),teilweise,
SEM-12.5,Semantik/Abschnitt,12.5,Recording und Replay,,M4 (Codegen),fertig,
SEM-12.6,Semantik/Abschnitt,12.6,Defensiver Treiberrand,,M5 (Embedded),teilweise,TTL-Adapter (PA9)
SEM-12.7,Semantik/Abschnitt,12.7,"Plattformschnittstelle (System-Channels, v1.1)",v1.1,M6,offen,
SEM-12.8,Semantik/Abschnitt,12.8,Laufzeitprofile (v1.1),v1.1,M6 (v1.1),teilweise,
SEM-12.9,Semantik/Abschnitt,12.9,"Verteilte Ausführung (v2): Regeln, die schon heute gelten",v2,M9 (v2),offen,
SEM-13.1,Semantik/Abschnitt,13.1,Referenzinterpreter und differentielles Testen,,M4 (Codegen),fertig,
SEM-13.2,Semantik/Abschnitt,13.2,Coverage aus der Simulation,,M6 (v1.1),fertig,
SEM-13.3,Semantik/Abschnitt,13.3,Eigenschaftsprüfung (v1.1),v1.1,M6,offen,
SEM-13.4,Semantik/Abschnitt,13.4,Zertifizierungspfad,,M5 (Embedded),offen,
SEM-13.5,Semantik/Abschnitt,13.5,"Messwerte, Prüfungen ohne Abbruch, Verdikte",,M4 (Codegen),fertig,
SEM-13.6,Semantik/Abschnitt,13.6,Szenarien (v1.1),v1.1,M6,fertig,
SEM-13.7,Semantik/Abschnitt,13.7,Kampagnen (v1.1),v1.1,M6,offen,
SEM-13.8,Semantik/Abschnitt,13.8,Treiber- und Native-Konformität,,M5 (Embedded),offen,TTL-Adapter (PA9)
SEM-13.9,Semantik/Abschnitt,13.9,Migration aus C: `takt import-c` und Orakel-Modus (v1.1),v1.1,M7 (Werkzeuge),offen,
SEM-14.1,Semantik/Abschnitt,14.1,Zündablauf eines Triebwerksprüfstands mit Interlocks,,M4 (Codegen),fertig,
SEM-14.2,Semantik/Abschnitt,14.2,Batterie-Thermozyklus mit Profil und Plant-Modell,,M4 (Codegen),fertig,
SEM-14.3,Semantik/Abschnitt,14.3,Parametrisierte Maschine mit Instanzen (Ventilregler mit Rückmeldung),,M4 (Codegen),fertig,
SEM-14.4,Semantik/Abschnitt,14.4,Funktionen und Blöcke (Standardbibliothek-Stil),,M4 (Codegen),fertig,
SEM-14.5,Semantik/Abschnitt,14.5,Überwachung eines Thermoelement-Feldes,,M4 (Codegen),fertig,
SEM-14.6,Semantik/Abschnitt,14.6,"Versorgungsunterbrechung mit Live-Log-Auswertung (Streams, Muster, geplante Ausgaben, Verdikte)",,M4 (Codegen),fertig,
SEM-14.7,Semantik/Abschnitt,14.7,"Batteriemanagement mit Selbsttests (MCU; Persistenz, Schlaf, Bit-Operationen, Tabellen)",,M5 (Embedded),offen,Board 2 (RV32IMAC)
SEM-14.8,Semantik/Abschnitt,14.8,"Image-Auswahl und -Validierung beim Start (Startprofil; Chunk-Hash, Job, Kommando + Status, Persistenz)",,M6 (v1.1),teilweise,
G-file,Grammatik,2.3,file,,M0 (Parser/MIR-Entwurf),fertig,
G-import,Grammatik,2.3,import,,M0 (Parser/MIR-Entwurf),fertig,
G-system_decl,Grammatik,2.3,system_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-system_item,Grammatik,2.3,system_item,,M0 (Parser/MIR-Entwurf),fertig,
G-type_decl,Grammatik,2.3,type_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-unitvec_decl,Grammatik,2.3,unitvec_decl,v1.1,M0 (Parser) / M6,fertig,
G-enum_decl,Grammatik,2.3,enum_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-variant,Grammatik,2.3,variant,,M0 (Parser/MIR-Entwurf),fertig,
G-record_decl,Grammatik,2.3,record_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-record_field,Grammatik,2.3,record_field,,M0 (Parser/MIR-Entwurf),fertig,
G-field,Grammatik,2.3,field,,M0 (Parser/MIR-Entwurf),fertig,
G-bitfield,Grammatik,2.3,bitfield,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_decl,Grammatik,2.3,unit_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-unit_name,Grammatik,2.3,unit_name,,M0 (Parser/MIR-Entwurf),fertig,
G-const_decl,Grammatik,2.3,const_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-param_decl,Grammatik,2.3,param_decl,v1.1,M0 (Parser) / M6,fertig,
G-profile_decl,Grammatik,2.3,profile_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-channel_decl,Grammatik,2.3,channel_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-stream_decl,Grammatik,2.3,stream_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-port_decl,Grammatik,2.3,port_decl,v1.2,M0 (Parser) / M8,fertig,
G-binding,Grammatik,2.3,binding,,M0 (Parser/MIR-Entwurf),fertig,
G-attr,Grammatik,2.3,attr,v1.1,M0 (Parser) / M6,fertig,
G-framing,Grammatik,2.3,framing,,M0 (Parser/MIR-Entwurf),fertig,
G-command_decl,Grammatik,2.3,command_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-fn_decl,Grammatik,2.3,fn_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-native_decl,Grammatik,2.3,native_decl,v1.1,M0 (Parser) / M6,fertig,
G-cost_spec,Grammatik,2.3,cost_spec,,M0 (Parser/MIR-Entwurf),fertig,
G-cost_class,Grammatik,2.3,cost_class,,M0 (Parser/MIR-Entwurf),fertig,
G-block_decl,Grammatik,2.3,block_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-step_decl,Grammatik,2.3,step_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-method_decl,Grammatik,2.3,method_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-generic_vars,Grammatik,2.3,generic_vars,v1.1,M0 (Parser) / M6 (const) / M8 (type),fertig,
G-gvar,Grammatik,2.3,gvar,,M0 (Parser) / M6 (const) / M8 (type),fertig,
G-capability,Grammatik,2.3,capability,,M0 (Parser/MIR-Entwurf),fertig,
G-params,Grammatik,2.3,params,,M0 (Parser/MIR-Entwurf),fertig,
G-param,Grammatik,2.3,param,,M0 (Parser/MIR-Entwurf),fertig,
G-machine_decl,Grammatik,2.3,machine_decl,v1.2,M0 (Parser) / M8,fertig,
G-machine_body,Grammatik,2.3,machine_body,,M0 (Parser/MIR-Entwurf),fertig,
G-persist_decl,Grammatik,2.3,persist_decl,v1.1,M0 (Parser) / M6,fertig,
G-signal_decl,Grammatik,2.3,signal_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-state_decl,Grammatik,2.3,state_decl,v1.1,M0 (Parser) / M6,fertig,
G-state_body,Grammatik,2.3,state_body,,M0 (Parser/MIR-Entwurf),fertig,
G-fault_clause,Grammatik,2.3,fault_clause,,M0 (Parser/MIR-Entwurf),fertig,
G-enter_block,Grammatik,2.3,enter_block,,M0 (Parser/MIR-Entwurf),fertig,
G-exit_block,Grammatik,2.3,exit_block,,M0 (Parser/MIR-Entwurf),fertig,
G-loop_block,Grammatik,2.3,loop_block,,M0 (Parser/MIR-Entwurf),fertig,
G-on_handler,Grammatik,2.3,on_handler,,M0 (Parser/MIR-Entwurf),fertig,
G-transition,Grammatik,2.3,transition,,M0 (Parser/MIR-Entwurf),fertig,
G-guard,Grammatik,2.3,guard,,M0 (Parser/MIR-Entwurf),fertig,
G-trans_block,Grammatik,2.3,trans_block,,M0 (Parser/MIR-Entwurf),fertig,
G-sequence_block,Grammatik,2.3,sequence_block,,M0 (Parser/MIR-Entwurf),fertig,
G-seq_item,Grammatik,2.3,seq_item,,M0 (Parser/MIR-Entwurf),fertig,
G-instance_decl,Grammatik,2.3,instance_decl,v1.2,M0 (Parser) / M8 (im Zustand),fertig,
G-node_decl,Grammatik,2.3,node_decl,v2,M0 (Parser) / M9 (v2),fertig,
G-property_decl,Grammatik,2.3,property_decl,v1.1,M0 (Parser) / M6,fertig,
G-tprop,Grammatik,2.3,tprop,v1.1,M0 (Parser) / M6,fertig,
G-tprop_implies,Grammatik,2.3,tprop_implies,,M0 (Parser/MIR-Entwurf),fertig,
G-tprop_or,Grammatik,2.3,tprop_or,,M0 (Parser/MIR-Entwurf),fertig,
G-tprop_and,Grammatik,2.3,tprop_and,,M0 (Parser/MIR-Entwurf),fertig,
G-tprop_not,Grammatik,2.3,tprop_not,,M0 (Parser/MIR-Entwurf),fertig,
G-tprop_atom,Grammatik,2.3,tprop_atom,,M0 (Parser/MIR-Entwurf),fertig,
G-scenario_decl,Grammatik,2.3,scenario_decl,v1.1,M0 (Parser) / M6,fertig,
G-campaign_decl,Grammatik,2.3,campaign_decl,v1.1,M0 (Parser) / M6,fertig,
G-campaign_item,Grammatik,2.3,campaign_item,,M0 (Parser/MIR-Entwurf),fertig,
G-trigger_decl,Grammatik,2.3,trigger_decl,v1.2,M0 (Parser) / M8,fertig,
G-block,Grammatik,2.3,block,,M0 (Parser/MIR-Entwurf),fertig,
G-action_block,Grammatik,2.3,action_block,,M0 (Parser/MIR-Entwurf),fertig,
G-stmt,Grammatik,2.3,stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-simple_stmt,Grammatik,2.3,simple_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-assign,Grammatik,2.3,assign,,M0 (Parser/MIR-Entwurf),fertig,
G-lvalue,Grammatik,2.3,lvalue,,M0 (Parser/MIR-Entwurf),fertig,
G-var_decl,Grammatik,2.3,var_decl,,M0 (Parser/MIR-Entwurf),fertig,
G-if_stmt,Grammatik,2.3,if_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-for_stmt,Grammatik,2.3,for_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-match_stmt,Grammatik,2.3,match_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-case_pattern,Grammatik,2.3,case_pattern,,M0 (Parser/MIR-Entwurf),fertig,
G-at_stmt,Grammatik,2.3,at_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-every_stmt,Grammatik,2.3,every_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-check_stmt,Grammatik,2.3,check_stmt,v1.2,M0 (Parser) / M8,fertig,
G-alert_stmt,Grammatik,2.3,alert_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-log_stmt,Grammatik,2.3,log_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-send_stmt,Grammatik,2.3,send_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-pulse_stmt,Grammatik,2.3,pulse_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-cancel_stmt,Grammatik,2.3,cancel_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-measure_stmt,Grammatik,2.3,measure_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-job_stmt,Grammatik,2.3,job_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-arm_stmt,Grammatik,2.3,arm_stmt,v1.2,M0 (Parser) / M8,fertig,
G-verify_stmt,Grammatik,2.3,verify_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-verdict_stmt,Grammatik,2.3,verdict_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-raise_stmt,Grammatik,2.3,raise_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-goto_stmt,Grammatik,2.3,goto_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-abort_stmt,Grammatik,2.3,abort_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-return_stmt,Grammatik,2.3,return_stmt,,M0 (Parser/MIR-Entwurf),fertig,
G-expr,Grammatik,2.3,expr,,M0 (Parser/MIR-Entwurf),fertig,
G-or_expr,Grammatik,2.3,or_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-and_expr,Grammatik,2.3,and_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-not_expr,Grammatik,2.3,not_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-cmp_expr,Grammatik,2.3,cmp_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-bitor_expr,Grammatik,2.3,bitor_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-bitxor_expr,Grammatik,2.3,bitxor_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-bitand_expr,Grammatik,2.3,bitand_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-shift_expr,Grammatik,2.3,shift_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-add_expr,Grammatik,2.3,add_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-mul_expr,Grammatik,2.3,mul_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-unary,Grammatik,2.3,unary,,M0 (Parser/MIR-Entwurf),fertig,
G-cast_expr,Grammatik,2.3,cast_expr,,M0 (Parser/MIR-Entwurf),fertig,
G-postfix,Grammatik,2.3,postfix,,M0 (Parser/MIR-Entwurf),fertig,
G-member,Grammatik,2.3,member,,M0 (Parser/MIR-Entwurf),fertig,
G-primary,Grammatik,2.3,primary,,M0 (Parser/MIR-Entwurf),fertig,
G-generic_args,Grammatik,2.3,generic_args,,M0 (Parser/MIR-Entwurf),fertig,
G-generic_arg,Grammatik,2.3,generic_arg,v1.1,M0 (Parser) / M6,fertig,
G-args,Grammatik,2.3,args,,M0 (Parser/MIR-Entwurf),fertig,
G-arg,Grammatik,2.3,arg,,M0 (Parser/MIR-Entwurf),fertig,
G-number,Grammatik,2.3,number,,M0 (Parser/MIR-Entwurf),fertig,
G-int_lit,Grammatik,2.3,int_lit,,M0 (Parser/MIR-Entwurf),fertig,
G-duration_lit,Grammatik,2.3,duration_lit,,M0 (Parser/MIR-Entwurf),fertig,
