ID,Quelle,Thema,Befund,Art,Referenzstelle,Geprueft,Bewertung,Empfehlung,Meilenstein,Prioritaet,Status,Blockiert durch
FB-11,uart,Registerfelder ohne Zugriffsart (W1C),Read-Modify-Write auf ein Register mit W1C-Bits loescht ungesehene Ereignisse. Feldzugriffsarten fehlen.,Sprachluecke,"3.7, 15 (Treiberstufe)","Nicht pruefbar, weil `port` v1.2 ist. Die Referenz sagt zur Treiberstufe „sofort und in Programmordnung"", nichts ueber Feld- gegen Ganzregisterzugriff.","Korrektheitsproblem, nicht Ergonomie - der Entwickler stuft es richtig ein. Es ist zugleich die Stelle, an der Takt auf Treiberebene *besser* als C waere statt nur gleich gut. Haengt eng an FB-02: beides braucht echte Bitfeld-Semantik.","Entworfen in plan/feedback-design.md 1 (zusammen mit FB-16): Zugriffsarten `rw ro wo w1c w0c rsvd` am Bitfeld, nicht am Traeger — ein Register mischt sie. Entscheidend: Eine Zuweisung an ein `w1c`-Feld senkt *nicht* auf Read-Modify-Write, sondern auf einen einzelnen Schreibvorgang mit Einzelbitmaske; damit ist das Loeschen ungesehener Ereignisse strukturell unmoeglich. Zusatzregel: Ein Traeger mit `w1c`/`w0c`-Feldern darf nicht als Ganzes geschrieben werden, sonst entstuende der RMW ueber die Hintertuer. Nur an `port`-Records.",M8 (mit port),hoch,"behoben 2026-09-21 (M8 Schritt 14): Zugriffsarten am Bitfeld, `w1c` ohne RMW, Traeger mit `w1c` nicht als Ganzes schreibbar; `checks/SC-46/`, Korpus `67_bitfield_access.takt`",
FB-12,servo,`signal` mit Nutzlast,"Ein Signal traegt keinen Wert; Nutzlast erzwingt `pub var` plus handgeschriebenes „gilt einen Tick""-Zuruecksetzen.",Sprachluecke,"5.8 (signal), 8.6",Bestaetigt: `signal` ist ein reiner Puls ohne Wert.,"Der Entwickler nennt es seine Nummer-eins-Ergaenzung. Nach FB-06 faellt der Hauptgrund (Router-Muster) aber weg: mit eigenen Cursorn je Maschine kann jeder Interessent den Stream direkt lesen. Der Rest - „ein Ereignis mit Wert, ohne Stream-Deklaration"" - bleibt ein legitimer, aber kleinerer Wunsch.","Abgelehnt (plan/feedback-design.md 8). Nach FB-06 ist der Hauptgrund entfallen: Jede Maschine hat ihren eigenen Cursor, ein interner `stream<E> with capacity = 1` leistet genau das gewuenschte Ereignis mit Wert und steht seit M2 (nachgestellt). Eine Nutzlast an `signal` braechte die Fragen nach Kapazitaet, Ueberlauf und Lebensdauer zurueck, die `stream<E>` bereits beantwortet. 5.8 nennt den Weg jetzt.",-,niedrig,abgelehnt 2026-09-11,
FB-13,servo,Tabellengetriebene Geraetekonfiguration,Zehn nahezu gleiche `send`+`until`-Paare; eine Schleife ueber eine Konstantentabelle ist nicht schreibbar.,Sprachluecke,"5.5 (sequence), 8.11","Nachgestellt: `until X timeout d -> ZIEL` uebersetzt. Eine `for`-Schleife ueber eine Tabelle, in der jeder Durchlauf auf eine Antwort wartet, gibt es nicht - `until` ist ein Sequenz-Item, kein Statement.","Der Entwickler nennt das die einzige Stelle mit fehlender Ausdrucksmacht, nicht nur Bequemlichkeit. Das trifft zu: Geraetekonfiguration ueber SDO/Modbus/I2C ist ein Standardmuster jedes Feldbustreibers, und 8.11 adressiert die Klasse ausdruecklich.","Entworfen in plan/feedback-design.md 5 — und dabei *verkleinert*. Von den drei Auswegen scheidet ""`until` als Statement"" aus: `until` zieht seine Bedeutung aus der Segmentstruktur (6.2), und ein `loop:` hat keine Segmente. Umgesetzt wird der Segment-Default `sequence with timeout = 2 s -> NET_DOWN:`; er loest den grossen Teil des Schmerzes (zwanzig Zeilen im Bericht) zum kleinen Preis und versteckt nichts. Die Schleife ueber eine Tabelle bleibt offen, bis ein zweiter Bericht denselben Fall bringt. Umgesetzt 2026-09-16 (M6 Schritt 10): `sequence with timeout = d [-> X]:` als Segment-Default — Grammatik, Parser, Formatierer, S-Ausdruck, Sema (`seq_timeout`); 6.2 nennt die Regel. Tests in `takt-sema/tests/segment_timeout.rs`.",M6,mittel,behoben 2026-09-16,
FB-14,uart,Muster ueber dekodierten Sichten,"`on rx_frames matches LinkHeader(kind = ACK)` geht nicht, wenn das Element `bytes<N>` ist: die Unterscheidung steckt hinter `decode`.",Sprachluecke,"8.7, 8.6 (Record-Streams)","Teilweise widerlegt: auf einem `stream<Record>` funktioniert `on s matches Rec(feld = wert) as h` einwandfrei. Nur ueber `bytes<N>` fehlt der Weg, weil ein Muster kein Ausdruck ist.","Der Befund ist enger als beschrieben, aber real: bei nichttrivialer Rahmung (COBS+CRC) liegt der typisierte Record erst nach eigener Dekodierung vor, und dann ist zustandsweiser Dispatch verloren. Der Entwickler beschreibt die Zwangswirkung richtig - nichttriviale Rahmung wird TCB oder verliert Handler-Dispatch.","Entworfen in plan/feedback-design.md 4: Handler-Guard `on s as e when <guard>:`. Von drei Formen die einzige, die den Muster-DFA aus 8.7 unangetastet laesst — ein Muster mit Funktionsaufruf zerstoert die Alphabetklassen-Konstruktion, ein Guard laeuft danach als gewoehnlicher Code mit sichtbaren Kosten. Zwei Regeln: Der Guard ist seiteneffektfrei (4.4), und ein Element mit `false`-Guard gilt als untersucht und wird konsumiert — alles andere waere ein zweiter Cursor-Begriff neben 8.6. Umgesetzt 2026-09-16 (M6 Schritt 10): `on s [matches P] [as e] when g:` — Guard nach dem Muster, `false` reicht an den naechsten Handler weiter, ohne Treffer gilt das Element als untersucht; Interpreter und Codegen (`handler_chain`). 8.7 nennt die Regel. Tests in `takt-sema/tests/handler_guard.rs`.",M6,mittel,behoben 2026-09-16,
FB-15,uart,Kein `peek` auf Stroemen,Backpressure-Schleifen wollen vor der Entscheidung hinsehen; bei `bytes<N>` ist die Elementgroesse vorher unbekannt.,Sprachluecke,8.6,"Teilweise widerlegt: `s.count`, `.dropped`, `.overflowed`, `.free` lesen ohne zu konsumieren. Was fehlt, ist der *Wert* des naechsten Elements ohne Cursor-Fortschritt.","Fuer feste Elementgroessen loest `count` das Problem, wie der Entwickler selbst schreibt. Der offene Fall - variable Laenge in einem Store-and-Forward-Pfad - ist echt, aber schmal.","Entworfen in plan/feedback-design.md 6: `s.peek() -> E?`, aber mit der Regel, dass ein `peek` das Element *untersucht* im Sinne von 8.6, ohne den Lesecursor zu bewegen. Das ist die ganze Entscheidung: 8.6 fuehrt zwei Begriffe, und `peek` setzt den ersten, nicht den zweiten. Ohne diese Regel waere `peek` ein Loch in Lemma 9.6.1 — wer nur peekt, liesse das Fenster wachsen. Mit ihr ist es eine Zeile in 8.6. Umgesetzt 2026-09-16 (M6 Schritt 10): `s.peek() -> E?` untersucht das naechste Element, ohne den Cursor zu bewegen; am Tick-Ende rueckt der Cursor wie nach jedem untersuchten Element (Lemma 9.6.1). Interpreter und Sema; im Codegen seit M6 Schritt 23 (2026-09-16, `stream_peek`), differentiell geprueft in `49_record_streams.takt` — der Handler desselben Ticks sieht das gepeekte Element auch nativ. 8.6 nennt die Regel. Tests in `takt-sema/tests/peek.rs`.",M6,niedrig,behoben 2026-09-16,
FB-16,servo,Aktiv-low-Bits nicht deklarierbar,CiA-402-Controlword hat aktiv-low-Bits; das Controlword muss durch Weglassen eines Bits gebaut werden.,Sprachluecke,3.7,"Nicht pruefbar, solange FB-02 offen ist (benannte Bitfelder wirken nicht).","Der Entwickler nennt es die Stelle, die er einem Techniker am wenigsten erklaeren moechte. Aktiv-low ist in Feldbussen und GPIO die Regel. Klein im Aufwand, gross in der Lesbarkeit - und billig, wenn FB-02 ohnehin angefasst wird.","Entworfen in plan/feedback-design.md 1 (zusammen mit FB-11): `active_low` als *unabhaengiger* Modifikator neben der Zugriffsart — Polaritaet und Zugriffsart sind orthogonal, in einem Schluesselwort vermischt ergaeben sie eine Kombinatorik, die niemand liest. Invertiert transparent an genau zwei Stellen (Senken von Lesen und Schreiben); der Traeger bleibt roh. Anders als die Zugriffsarten auch an gewoehnlichen `layout`-Records erlaubt, weil ein invertiertes Bit in einem Drahtformat ein normaler Kodierungsfall ist.",M8 (mit port),mittel,"behoben 2026-09-21 (M8 Schritt 14): `active_low` als eigener Modifikator, invertiert beim Senken von Lesen und Schreiben; der Traeger bleibt roh",
FB-17,servo,Entdimensionierung als Ritual,"`round(x / (1 inc/s)) as u32` steht sechsmal im Treiber, nur um die Einheit loszuwerden.",Ergonomie,3.2,Bestaetigt: die Division durch ein Einheitenliteral ist der vorgesehene Weg und funktioniert.,"Die nominale Semantik ist richtig und soll bleiben. Der Wunsch ist nicht Ausdrucksmacht, sondern Absicht sichtbar machen: „ich schreibe jetzt einen Rohwert auf den Bus"" ist etwas anderes als eine Division.","Abgelehnt (plan/feedback-design.md 7). `x.raw(U)` spart vier Zeichen und stellt daneben eine zweite Schreibweise fuer dieselbe Operation. Vor allem ist die Division durch ein Einheitenliteral nicht Ritual, sondern nennt den Umrechnungsfaktor explizit — genau darin liegt die Sicherheit. Der Bericht zeigt aber, dass sie als Behelf gelesen wird: 3.2 benennt sie jetzt ausdruecklich als *das* vorgesehene Idiom und sagt, warum es keine Kurzform gibt.",-,niedrig,abgelehnt 2026-09-11,
FB-18,servo,Lint fuer vergessenes `follows`,Ein fehlendes `follows` uebersetzt fehlerfrei und macht das Programm still um einen Tick traeger.,Sprachluecke,"7.2, Pruefung 33","Bestaetigt: Pruefung 33 prueft nur Azyklizitaet der vorhandenen Kanten, nicht ob eine fehlt.","Guter Vorschlag, und der Compiler hat alle noetigen Angaben: Leser, Schreiber und Perioden sind bekannt. Eine Warnung „A liest `pub var` von B mit Unit-Delay, obwohl B im selben Tick laeuft"" ist billig und faengt einen Fehler, der sonst nur als Latenz auffaellt.","Entworfen in plan/feedback-design.md 3 (zusammen mit FB-38): Warnung, wenn A eine `pub var` von B liest, B im selben Tick aktiv ist und `follows B` fehlt. Warnung und nicht Fehler, weil der Unit-Delay manchmal gewollt ist. Beide `follows`-Lints sind zwei Haelften derselben Frage — weiss der Programmierer, in welchem Tick er liest — und brauchen dieselben Angaben. Pruefung 33 ist damit Klasse `F / W`. Behoben 2026-09-16 mit `follows` (M6 Schritt 2): Pruefung 33 warnt, wenn eine Maschine `m.x`, `m.state` oder ein Signal einer anderen liest, die im selben Tick aktiv sein kann (Perioden und Phasen, `schedule::same_tick`) und nicht gefolgt wird; Text und Vorschlag wie in plan/feedback-design.md 3.1. Test `a_missing_follows_warns_only_when_both_run_in_the_same_tick`.",M6 (mit follows),mittel,behoben 2026-09-16,
FB-19,uart,Kennzahl impliziter Pruefungen trennen,Bei Protokollcode zaehlt der Report jeden Slice-Check mit; Nutzer halten guten Code fuer schlecht.,Ergonomie,"3.4, 13.4",Noch nicht pruefbar: die Intervallanalyse kommt erst in M3.,"Der Einwand ist berechtigt und billig zu beruecksichtigen, solange der Report noch entworfen wird. Eine Kennzahl, die den Nutzer zum falschen Schluss fuehrt, ist schlechter als keine.","Erledigt: Der Report schluesselt die Kennzahl nach Ursache auf — `implizite Pruefungen: n (Arith …, Convert …, Declared …, Index …)`, dazu „davon mit Warnung"". Die Achse „geschrieben gegen eingefuegt"" aus dem Bericht traegt nicht, weil jede implizite Pruefung eingefuegt ist; die Ursache sagt stattdessen, woher sie kommt.",M3,mittel,behoben 2026-09-11,
FB-20,uart,Drei aehnliche Textpuffertypen,"`str<N>`, `line<N>`, `bytes<N>` - jedes Mal nachschlagen, welcher `.truncated` hat.",Ergonomie,3.9,Bestaetigt: nur `line<N>` traegt `.truncated`.,"Die Trennung ist begruendet (`line` ist der Elementtyp zeilengerahmter Stroeme). Der Aufwand liegt beim Nachschlagen, nicht beim Schreiben.","In 3.9 eine dreizeilige Vergleichstabelle: Zweck, Herkunft, `.truncated` ja/nein.",sofort (Referenz),niedrig,behoben 2026-09-10,
FB-21,uart,`pub var`/`signal` auf Dateiebene,Beide auf Dateiebene deklariert; der Parser lehnt ab.,Irrtum,"2.3 file, 5.8",Bestaetigt als richtige Ablehnung: beide gehoeren in eine Maschine. In der Maschine uebersetzen sie.,"Kein Handlungsbedarf an der Sprache. Der Entwickler hat es selbst als Platzhalter markiert („Platzhalter entfaellt"").","Erledigt: Der Hinweis nennt jetzt die Maschinenebene statt nur aufzuzaehlen, was auf Dateiebene erlaubt ist — `pub var`/`var`/`persist var` verweisen auf 5.1, `signal` auf 5.8, die Zustandsschluesselwoerter auf 2.3. Zwei Entwickler haben die Deklarationen unabhaengig oben geschrieben; die Meldung fuehrt sie jetzt an die richtige Stelle. Test `a_machine_level_declaration_at_file_level_names_its_place`.",-,niedrig,behoben 2026-09-11,
FB-22,servo,Schluesselwoerter als Bitfeldnamen,"`state : u8 at 0..6` in einem Record scheitert, weil `state` ein Schluesselwort ist.",Irrtum,2.5 (reservierte Membernamen),"Bestaetigt als richtige Ablehnung: 2.5 sagt ausdruecklich „Schluesselwoerter sind als Feldnamen verboten"".","Regel steht klar in der Referenz. Der Entwickler hat sie uebersehen, nicht die Sprache falsch gebaut.","Erledigt durch die Ergaenzung aus FB-40: 2.5 sagt jetzt, dass Schluesselwoerter im ganzen Programm keine Bezeichner sind — nicht nur als Feldnamen — und listet die fuenf haeufigen Kollisionen (`on`, `state`, `unit`, `step`, `at`) mit erprobten Ausweichnamen. `state` als Bitfeldname ist der Fall dieses Berichts.",-,niedrig,behoben 2026-09-11,
FB-23,uart,`scenario`/`campaign` sind v1.1,"Der UART-Treiber deklariert `language = 1`, nutzt aber `scenario` und `campaign`.",Irrtum,15 (v1.1),Beide sind laut Stufenplan v1.1; der Entwickler lobt sie als staerkstes Produktargument.,"Kein Sprachproblem, aber ein Signal: die Konstrukte, die den groessten Eindruck machen, sind noch nicht im Kern. Das stuetzt die Priorisierung von v1.1.","Keine Aenderung an der Sprache; als Signal aufgenommen. `scenario` und `campaign` sind v1.1 (M6) und bleiben es — dass gerade sie den groessten Eindruck machen, stuetzt die Priorisierung von M6, aendert aber nichts am Stufenschnitt. Der Compiler lehnt sie mit Stufenmeldung ab, was die richtige Antwort ist.",-,niedrig,zur Kenntnis 2026-09-11,
FB-24,uart,Zwei Persoenlichkeiten der Sprache,"Steuer-/Testhaelfte reif, Daten-/Protokollhaelfte spuerbar juenger; alle Luecken liegen in der zweiten.",Ergonomie,-,"Deckt sich mit dem Befund dieser Analyse: FB-02 bis FB-05, FB-14, FB-15 liegen samtlich in der Daten- und Protokollhaelfte.","Der wichtigste strukturelle Befund beider Berichte, und er ist durch die Fundverteilung belegt: 9 von 11 substanziellen Luecken betreffen Drahtformate, Puffer und Rahmung. Genau die Haelfte, an der die C-Migration haengt.","Erledigt: `corpus-try/13_protocol_analysis.takt` ist der Messfall der Protokollhaelfte, mit allen vier Konstrukten aus plan/m3.md 1.9 — Dekodierung (`Header.decode`), Slice ueber eine dekodierte Laenge, CRC-Schleife und Bitfelder. Der Test `the_protocol_case_keeps_its_implicit_checks_low` misst an ihm und ist Teil der Abnahme. Der Befund ist das eigentliche Ergebnis: **eine** implizite Pruefung, keine davon mit Warnung. Der UART-Bericht befuerchtet eine hohe Zahl; die Analyse beweist das Gegenteil, weil der Slice ueber `h.len` aus dem Laengenfeld `u8 in 0..64` und der vorangehenden Schranke bewiesen ist.",M3 (Planung),hoch,behoben 2026-09-11,
FB-25,M3-Abnahme,`on`-Handler auf Nicht-Stream,Ein `on`-Handler auf einem skalaren Input meldete `SC-3` statt `SC-27`; die Regel steht in Tabelle 10.1 unter 27.,Bug,10.1 (Pruefung 27); 8.7,"Bestaetigt: `stream_ref` trug den Code fest verdrahtet, obwohl es Lese- und `send`-Pfad zugleich bedient.","Echter Integrationsfehler. Der Korpuslaeufer schluesselt auf den Code — Pruefung 27 war damit zur Haelfte untestbar, ohne dass etwas aufgefallen waere.","Erledigt: `stream_ref_as(name, code)` nimmt den Code des Aufrufers, der `on`-Handler reicht `SC-27` durch. Korpus `SC-27/` mit beiden Haelften der Regel.",M3,mittel,behoben 2026-09-11,
FB-26,M3-Abnahme,Pruefungs-Korpora nicht kanonisch,Sieben Korpusdateien unter `corpus-try/checks/` waren nicht formatiert; `corpus_is_canonical` liest nur die oberste Ebene.,Bug,plan/formatter.md (Korpus als Golden-Test),"Bestaetigt: 7 von 124 Dateien abgedriftet, dazu `SC-50`, das reservierte Woerter enthaelt und nie formatierbar ist.","Der Korpus ist der Golden-Test des Formatters. Ein Teil davon, der nicht geprueft wird, verliert diese Eigenschaft still.","Erledigt: die sieben formatiert, `check_corpora_are_canonical` prueft nun alle Unterverzeichnisse ausser `SC-50`.",M3,mittel,behoben 2026-09-11,
FB-27,M3-Abnahme,`range`/`repr` ohne Roundtrip-Test,"Die beiden Felder aus Formatversion 4 wurden geschrieben und gelesen, aber vom Beispielprogramm nie gesetzt — der Roundtrip lief leer darueber.",Bug,plan/mir.md (Formatversion 4); 3.4,Bestaetigt: `sample.rs` setzte weder `Expr::range` noch `Expr::repr`; ein Verlust beim Schreiben waere unbemerkt geblieben.,"Die Annotationen sind das Ergebnis der ganzen M3-Analyse. Sie ungetestet durch das Dateiformat zu schicken, haette den Befund erst in M4 sichtbar gemacht.","Erledigt: `annotated()` im Beispielprogramm, Test `range_and_repr_survive_the_format` nennt beide Felder einzeln.",M3,mittel,behoben 2026-09-11,
FB-28,M3-Abnahme,Pruefung 25 ohne eigenen Fall,"`SC-25` ist nicht ausloesbar: Die Grammatik verlangt an jedem `var` ein `=`, und die einzige uninitialisierte Bindung faengt Pruefung 6 ab.",Befund,10.1 (Pruefung 25); 2.3 var_decl,Bestaetigt: `init: None` entsteht nur in `lower/pattern.rs`; jeden Lesezugriff darauf meldet schon `SC-6`.,"Kein Fehler, sondern eine Folge der Grammatik. Ein Korpus waere nur mit einem kuenstlichen Fall zu bauen gewesen — der Kommentar im Code behauptete ausserdem noch, auch Pruefung 6 sei nicht ausloesbar, was seit M3 falsch ist.","Erledigt: Kommentar richtiggestellt, `a_sequence_var_always_carries_an_initialiser` haelt den Grund fest und schlaegt fehl, sobald die Grammatik den Fall zulaesst.",M3,niedrig,behoben 2026-09-11,
